Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,"1,113,568","502,912","610,656","64,693","62,080","62,915","71,521","62,651","71,202","68,781","63,064","67,919","62,861","70,247","62,177","66,436",Bye,"63,967","59,978","69,879","63,197"
Atlanta Falcons,"1,176,416","556,828","619,588","69,597","69,251","63,803","85,716","69,461","69,921","62,620","68,008","69,715","62,861",Bye,"70,166","74,455","69,496","70,301","69,221","61,752","70,072"
Baltimore Ravens,"1,170,734","635,380","535,354","70,136","66,015","70,038","67,919","67,272","61,011","70,989","63,064","70,753","70,424","70,997","70,240",Bye,"70,492","68,021","71,812","71,196","70,355"
Buffalo Bills,"1,183,200","626,483","556,717","83,345","70,772","64,291","70,881","61,273","70,515","64,628","70,416","66,965","70,318","70,603","69,879",Bye,"73,639","70,933","67,678","70,772","66,292"
Carolina Panthers,"1,163,926","573,086","590,840","69,597","72,709","68,699","72,842","63,648","65,529",Bye,"71,505","72,301","61,200","73,543","62,493","62,432","70,009","70,301","70,875","67,233","69,010"
Chicago Bears,"1,111,491","494,157","617,334","62,456","62,976","73,562","62,220","63,727","62,167","62,199","70,240","70,006","61,200","63,873","66,843",Bye,"62,185","67,919","59,978","61,752","78,188"
Cincinnati Bengals,"1,144,696","594,361","550,335","67,919","66,015","65,158","68,951","62,651","66,385",Bye,"71,655","66,965","66,526","70,997","65,090","67,951","65,981","66,376","66,646","73,565","65,865"
Cleveland Browns,"1,168,498","610,295","558,203","67,919","67,576","67,919","67,919",Bye,"67,431","65,552","68,807","67,919","70,424","67,919","76,261","72,887","67,431","67,919","70,831","67,919","65,865"
Dallas Cowboys,"1,378,746","748,755","629,991","80,809","93,689","62,915","93,719","71,617","70,240",Bye,"93,448","69,879","93,338","73,543","93,711","93,367","93,752","70,933","66,410","93,731","63,645"
Denver Broncos,"1,226,925","687,498","539,427","76,299","76,108","65,522","62,220","76,387","73,528","76,880","76,286",Bye,"70,318","76,848","76,261","71,670","70,240","64,500","76,201","76,228","61,429"
Detroit Lions,"1,170,249","518,741","651,508","73,522","66,434","63,803","78,052","63,648","65,854","70,989","66,774",Bye,"70,240","63,873","66,476","70,003","62,185","64,500","66,932","93,731","63,233"
Green Bay Packers,"1,242,403","622,636","619,767","62,456","69,251","78,043","78,052","62,572",Bye,"76,880","78,113","77,409","67,617","77,432","66,476","78,124","76,637","77,275","70,875","67,003","78,188"
Houston Texans,"1,184,936","640,742","544,194","70,136","71,159","61,466","71,399","69,461","71,810",Bye,"71,505","70,785","66,526","70,247","71,324","71,670","72,956","66,219","70,831","71,517","65,925"
Indianapolis Colts,"1,113,729","587,393","526,336","65,749","71,159","70,038","65,337","65,287","64,851","65,552","65,427","72,301","50,144",Bye,"64,407","62,641","65,981","64,171","69,221","65,538","65,925"
Jacksonville Jaguars,"1,150,901","621,599","529,302","65,749","69,915","61,466","85,716","61,273","64,851","70,009","67,225",Bye,"69,271","67,175","71,324","67,951","67,431","68,021","62,547","67,233","63,744"
Kansas City Chiefs,"1,205,847","638,715","567,132","73,522","69,915","73,562","80,461","67,003","73,528","73,642","76,286","50,023",Bye,"73,754","62,441","78,124","73,639","64,628","73,480","73,565","68,274"
Las Vegas Raiders,"1,111,041","559,713","551,328","76,299","70,772","62,541","70,240","62,572","61,985","62,199","66,774","62,082","62,383","66,026","62,441",Bye,"62,626","61,654","73,480","65,538","61,429"
Los Angeles Chargers,"1,190,939","627,632","563,307","70,240","67,438","66,878","70,240",Bye,"70,240","73,642","70,240","75,407","70,240","77,432","70,240","64,628","70,240","61,654","67,678","76,228","68,274"
Los Angeles Rams,"1,235,049","585,204","649,845","68,683","74,742","65,158","65,337","74,935","71,202","73,471","93,448","77,409",Bye,"72,704","62,177","72,887","70,492","72,035","73,228","75,517","71,624"
Miami Dolphins,"1,136,583","593,304","543,279","70,240","64,628","65,522","70,881","65,654","65,529","69,879","65,836","50,023",Bye,"66,026","82,973","63,459","66,068","65,967","66,410","71,196","66,292"
Minnesota Vikings,"1,157,107","535,308","621,799","66,741","69,879","66,878","72,842","67,003","62,167","66,975","78,113","69,715","66,933","76,848","66,843",Bye,"62,626","66,376","66,932","67,003","63,233"
New England Patriots,"1,165,144","567,168","597,976","64,628","64,628","80,876","93,719","64,628","61,985","64,628","65,836","64,628","50,144",Bye,"82,211","64,628","66,376","64,628","76,201","70,772","64,628"
New Orleans Saints,"1,188,849","560,164","628,685","70,024","72,709","78,043","70,003","64,628","71,810","70,009","65,427","70,006","66,933",Bye,"70,166","70,003","70,009","70,038","73,228","65,741","70,072"
New York Giants,"1,262,352","634,459","627,893","80,809","62,080","71,593","78,507","65,654","70,515","81,671","83,367","62,082","93,338","62,714","82,211",Bye,"76,637","70,038","69,879","75,517","75,740"
New York Jets,"1,285,954","701,011","584,943","83,345","93,689","80,876","80,461","76,387","83,068",Bye,"83,367","75,407","62,383","70,603","82,973","74,455","72,956","65,967","67,470","67,919","64,628"
Philadelphia Eagles,"1,223,746","559,032","664,714","64,628","69,879","65,426","69,879","74,935","83,068","69,879","64,653","69,879",Bye,"73,754","69,879","69,879","93,752","68,758","69,879","69,879","75,740"
Pittsburgh Steelers,"1,146,477","602,796","543,681","67,679","67,576","62,541","71,399","67,272",Bye,"73,471","67,225","65,969","67,617","67,919","65,090","66,436","66,376","64,171","66,646","68,735","70,355"
San Francisco 49ers,"1,186,315","573,245","613,070","67,679","74,742","71,593","71,521","71,617","67,431","66,975","71,655",Bye,"69,271","71,607","68,702","69,879","71,816","63,967","71,812","64,424","71,624"
Seattle Seahawks,"1,193,230","549,886","643,344","68,683","66,434","68,699","78,507",Bye,"66,385","68,781","68,807","70,753","68,721","72,704","68,702","93,367","71,816","68,758","60,181","68,735","63,197"
Tampa Bay Buccaneers,"1,140,061","510,321","629,740","66,741","62,976","65,426","70,003",Bye,"65,854","62,620","70,416","70,785","62,725","71,607","64,407","62,432","69,496","77,275","62,547","65,741","69,010"
Tennessee Titans,"1,117,370","580,686","536,684","70,024","67,438","67,919","68,951","65,287","61,011",Bye,"68,008","65,969","62,725","67,175","62,493","62,641","66,068","66,219","60,181","71,517","63,744"
Washington Commanders,"1,175,750","511,606","664,144","64,693","76,108","64,291","69,879","63,727","69,921","81,671","64,653","64,628","68,721","62,714","93,711","63,459",Bye,"72,035","67,470","64,424","63,645"
